sci_name,type_voucher,voucher_prefix,matched_abbreviation,issue
Mustela_haidarum,USNM:MAMM:94430,USNM:MAMM:94430,USNM,prefix_missing_from_metadata
Mustela_itatsi,"RMNH.MAM.39207, RMNH.MAM.39208, SMF 202","RMNH.MAM.39207,",RMNH,prefix_missing_from_metadata
Mustela_kathiah,BMNH:Mamm:1843.1.12.14,BMNH:MAMM:1843.1.12.14,BMNH,prefix_missing_from_metadata
Mustela_lutreolina,BMNH:Mamm:1917.8.4.2,BMNH:MAMM:1917.8.4.2,BMNH,prefix_missing_from_metadata
Mustela_nudipes,MNHN-ZM-MO-2001-355,MNHN-ZM-MO-2001-355,MNHN,prefix_missing_from_metadata
Mustela_richardsonii,BMNH:Mamm:1843.3.3.4,BMNH:MAMM:1843.3.3.4,BMNH,prefix_missing_from_metadata
Mustela_strigidorsa,BMNH:Mamm:1853.8.16.15,BMNH:MAMM:1853.8.16.15,BMNH,prefix_missing_from_metadata
Neogale_africana,"MNHN-ZM-MO-1984-628 (= MNHN ""848"")",MNHN-ZM-MO-1984-628,MNHN,prefix_missing_from_metadata
Neogale_felipei,FMNH:Mamm:70999,FMNH:MAMM:70999,FMNH,prefix_missing_from_metadata
Neogale_macrodon,USNM:MAMM:115178,USNM:MAMM:115178,USNM,prefix_missing_from_metadata
Bassaricyon_alleni,BMNH:Mamm:1880.5.6.37,BMNH:MAMM:1880.5.6.37,BMNH,prefix_missing_from_metadata
Bassaricyon_gabbii,USNM:MAMM:A14214 (= USNM:MAMM:12273),USNM:MAMM:A14214,USNM,prefix_missing_from_metadata
Bassaricyon_medius,BMNH:Mamm:1909.7.17.10,BMNH:MAMM:1909.7.17.10,BMNH,prefix_missing_from_metadata
Nasua_olivacea,BMNH:Mamm:1843.3.10.14,BMNH:MAMM:1843.3.10.14,BMNH,prefix_missing_from_metadata
Procyon_pygmaeus,USNM:MAMM:108511,USNM:MAMM:108511,USNM,prefix_missing_from_metadata
Arctocephalus_galapagoensis,CAS:MAM:20829 (= SZC 2812),CAS:MAM:20829,CAS,prefix_missing_from_metadata
Arctocephalus_townsendi,USNM:MAMM:83617,USNM:MAMM:83617,USNM,prefix_missing_from_metadata
Arctocephalus_tropicalis,"BMNH:Mamm:1853.10.22.1, BMNH:Mamm:1853.10.22.2, BMNH:Mamm:1853.10.22.3","BMNH:MAMM:1853.10.22.1,",BMNH,prefix_missing_from_metadata
Phocarctos_hookeri,BMNH:Mamm:1843.11.25.2,BMNH:MAMM:1843.11.25.2,BMNH,prefix_missing_from_metadata
Zalophus_japonicus,RMNH.MAM.13447,RMNH.MAM.13447,RMNH,prefix_missing_from_metadata
Hydrurga_leptonyx,"MNHN-ZM-AC-A3578, RCS 3938","MNHN-ZM-AC-A3578,",MNHN,prefix_missing_from_metadata
Lobodon_carcinophaga,MNHN-ZM-AC-1883-1545,MNHN-ZM-AC-1883-1545,MNHN,prefix_missing_from_metadata
Ommatophoca_rossii,BMNH:Mamm:1843.11.25.4 (= BMNH:Mamm:324a),BMNH:MAMM:1843.11.25.4,BMNH,prefix_missing_from_metadata
Mirounga_angustirostris,USNM:MAMM:A4704,USNM:MAMM:A4704,USNM,prefix_missing_from_metadata
Mirounga_leonina,BMNH:Mamm:1946.8.9.1,BMNH:MAMM:1946.8.9.1,BMNH,prefix_missing_from_metadata
Neomonachus_tropicalis,BMNH:Mamm:1847.2.2.2,BMNH:MAMM:1847.2.2.2,BMNH,prefix_missing_from_metadata
Canis_lupaster,ZMB:Mam:834,ZMB:MAM:834,ZMB,prefix_missing_from_metadata
Canis_simensis,"RMNH.MAM.39184, SMF 97","RMNH.MAM.39184,",RMNH,prefix_missing_from_metadata
Atelocynus_microtis,BMNH:Mamm:1883.4.28.2,BMNH:MAMM:1883.4.28.2,BMNH,prefix_missing_from_metadata
